tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
59986,INS,FRA,2016,X,14,X,2021,N/A,vehicle engine,EN,vehicle engine,,14,X,2019-2021,Indonesia,France,N,0.05,0.7,0.7
60700,INS,FRA,2016,,2,,2020,N/A,VL-MICA-M,NW,naval SAM system,L,2,,2019-2020,Indonesia,France,N,5,10,10
65700,IRQ,FRA,2021,X,12,,0,N/A,Ground Master-200,GR,air search radar,L,,,,Iraq,France,N,10,120,0
64003,IRQ,FRA,2022,,4,,0,N/A,Ground Master-400,GR,air search radar,L,2,X,2022,Iraq,France,N,13,52,26
52436,ITA,FRA,2006,X,21,,2017,N/A,2R2M 120mm,AR,mortar,L,21,X,2014-2017,Italy,France,N,0.1,2.1,2.1
63717,ITA,FRA,2018,X,38,X,0,N/A,2R2M 120mm,AR,mortar,L,20,X,2019-2022,Italy,France,N,0.1,3.8,2
36133,ITA,FRA,2000,X,10,X,2019,N/A,BlueMaster,GR,ASW sonar,L,10,,2007-2019,Italy,France,N,10,100,100
36137,ITA,FRA,2005,X,4,,2016,N/A,CAPTAS-4,GR,ASW sonar,L,4,,2013-2016,Italy,France,N,11,44,44
61296,IVO,FRA,2014,X,1,,2014,N/A,AS365/AS565 Panther,AC,helicopter,L,1,,2014,Cote d'Ivoire,France,S,1.3,1.3,1.3
65467,IVO,FRA,2022,,1,,2022,N/A,P-400,SH,patrol craft,L,1,,2022,Cote d'Ivoire,France,S,7.6,7.6,7.6
57051,IVO,FRA,2013,X,3,,2016,N/A,RPB-33,SH,patrol craft,L,3,,2014-2016,Cote d'Ivoire,France,N,5,15,15
20849,JAP,FRA,1989,,480,X,2021,LIC,MO-120-RT 120mm,AR,mortar,L,480,X,1990-2021,Japan,France,N,0.1,48,48
58790,JOR,FRA,2014,,3,X,2017,N/A,I-Master,GR,AGS/MP aircraft radar,,3,,2014-2017,Jordan,France,N,2.5,7.5,7.5
57626,KAZ,FRA,2014,X,20,X,0,LIC,Ground Master-400,GR,air search radar,L,,,,Kazakhstan,France,N,13,260,0
58453,KAZ,FRA,2013,,1,,2014,N/A,Ground Master-400,GR,air search radar,L,1,,2014,Kazakhstan,France,N,13,13,13
